Mon Oct 17 02:26:12 SGT 2022,Clone573,0,0,culprit not found for any combination of statements,0,62,public static void main (String arg []) {,public static void main (String [] args) {,
Mon Oct 17 02:36:16 SGT 2022,Clone537,0,1,complete method minus codeparts include culprit(s) maybe braces,0,0,public static String validName (Scanner input; Scanner histogram) {,public static String validName (Scanner input; Scanner histogram) {,
Mon Oct 17 02:40:15 SGT 2022,Clone29,0,0,found culprit,2,10,char wf () {,char wf () {,char wf () { Scanner input=new Scanner(System.in); 
Mon Oct 17 03:02:48 SGT 2022,Clone86,0,0,culprit not found for any combination of statements,0,62,public void start (Stage stage) {,public void start (Stage primaryStage) {,
Mon Oct 17 07:50:09 SGT 2022,Clone271,0,0,found culprit,4,186,public static boolean hasDateExpired (int days; Instant savedDate; Instant currentDate) {,private static boolean hasDateExpired (int days; java.util.Date savedDate) throws ParseException {,private static boolean hasDateExpired (int days, java.util.Date savedDate) throws ParseException { SimpleDateFormat dateFormatUtc=new SimpleDateFormat("yyyy-MMM-dd HH:mm:ss"); SimpleDateFormat dateFormatLocal=new SimpleDateFormat("yyyy-MMM-dd HH:mm:ss"); Date expiresDate=new Date(expires); 
Mon Oct 17 08:13:02 SGT 2022,Clone467,0,0,found culprit,1,2,public static void main (String args []) throws IOException {,public static void main (String [] args) {,InetAddress address=InetAddress.getByName("192.168.1.103"); 
Mon Oct 17 08:13:23 SGT 2022,Clone182,0,1,complete method minus codeparts include culprit(s) maybe braces,0,0,public static void main (String [] args) {,public static void main (String [] args) {,
Mon Oct 17 08:34:43 SGT 2022,Clone196,0,0,found culprit,1,5,public static byte [] readBytes (InputStream inputStream) throws IOException {,public static byte [] readBytes (InputStream inputStream) throws IOException {,int read=inputStream.read(buffer,bufferSize,buffer.length - bufferSize); 
Mon Oct 17 08:57:03 SGT 2022,Clone291,0,0,culprit not found for any combination of statements,0,126,public MyViewHolder (View view) {,public MyViewHolder (View itemView) {,
Mon Oct 17 08:57:24 SGT 2022,Clone645,0,1,complete method minus codeparts include culprit(s) maybe braces,0,0,public static void main (final String...args) {,public static void main (String [] args) throws FileNotFoundException {,
Mon Oct 17 09:08:34 SGT 2022,Clone589,0,0,culprit not found for any combination of statements,0,62,public static void main (String [] args) throws TwilioRestException {,public static void main (String [] args) throws Exception {,
Mon Oct 17 09:52:26 SGT 2022,Clone823,0,0,culprit not found for any combination of statements,0,14,public void filter (String [] words; BufferedReader reader) throws IOException {,public void filter (String [] words; String text) {,
Mon Oct 17 10:14:47 SGT 2022,Clone530,0,0,culprit not found for any combination of statements,0,126,public void run () {,public void run () {,
Mon Oct 17 12:34:27 SGT 2022,Clone132,0,0,culprit not found for any combination of statements,0,510,public static void main (String [] args) {,public static void main (String [] args) {,
Mon Oct 17 15:40:06 SGT 2022,Clone401,0,0,culprit not found for any combination of statements,0,1022,public void contextDestroyed (ServletContextEvent sce) {,public final void contextDestroyed (ServletContextEvent sce) {,
Mon Oct 17 15:40:59 SGT 2022,Clone896,0,0,found culprit,1,3,public boolean onOptionsItemSelected (MenuItem item) {,public boolean onOptionsItemSelected (MenuItem item) {,Log.i(TAG,"You have forgotten to specify the parentActivityName in the AndroidManifest!"); 
Mon Oct 17 19:35:35 SGT 2022,Clone136,0,0,culprit not found for any combination of statements,0,254,public void onActivityResult (int requestCode; int resultCode; Intent data) {,protected void onActivityResult (int requestCode; int resultCode; Intent data) {,
Mon Oct 17 21:40:08 SGT 2022,Clone400,0,0,found culprit,6,712,public void contextDestroyed (ServletContextEvent servletContextEvent) {,public final void contextDestroyed (ServletContextEvent sce) {,public final void contextDestroyed (ServletContextEvent sce) { Enumeration<Driver> drivers=DriverManager.getDrivers(); while(drivers.hasMoreElements()) Driver driver=drivers.nextElement(); log.info("Deregistering JDBC driver {}",driver); DriverManager.deregisterDriver(driver); 
