Sat Dec 10 18:23:54 SGT 2022,Clone793,No wheat,0,62,
Sat Dec 10 19:33:41 SGT 2022,Clone240,Found necessary statements,5,387,public static int solution (int X, int [] A) { int[] count=new int[X]; for([int i=0] i < A.length [i++]) count[A[i] - 1]++; for([int j=0] j < count.length [j++]) 
Sat Dec 10 19:33:51 SGT 2022,Clone240,Found suf and nec statements,5,387,public static int solution (int X, int [] A) { int[] count=new int[X]; for([int i=0] i < A.length [i++]) count[A[i] - 1]++; for([int j=0] j < count.length [j++]) 
Sat Dec 10 19:43:04 SGT 2022,Clone701,Found necessary statements,3,51,public static void printTable (String [] countries, int [] populations) { int countryLength=0; for([int i=0] i < countries.length [i++]) 
Sat Dec 10 19:43:15 SGT 2022,Clone701,Found suf and nec statements,3,51,public static void printTable (String [] countries, int [] populations) { int countryLength=0; for([int i=0] i < countries.length [i++]) 
Sat Dec 10 21:30:04 SGT 2022,Clone888,No wheat,0,254,
Sat Dec 10 21:43:11 SGT 2022,Clone803,Found necessary statements,3,56,public void shuffle (String input) { int randPicker=(int)(Math.random() * characters.size()); System.out.println(output.toString()); 
Sat Dec 10 21:43:24 SGT 2022,Clone803,Found suf and nec statements,3,56,public void shuffle (String input) { int randPicker=(int)(Math.random() * characters.size()); System.out.println(output.toString()); 
Sat Dec 10 21:50:33 SGT 2022,Clone711,No wheat,0,30,
Sun Dec 11 03:51:56 SGT 2022,Clone895,No wheat,0,254,
Sun Dec 11 07:42:54 SGT 2022,Clone779,No wheat,0,1022,
Sun Dec 11 10:58:16 SGT 2022,Clone671,Found necessary statements,4,73,public void run () { System.out.println(i); e.printStackTrace(); e.printStackTrace(); 
Sun Dec 11 10:58:26 SGT 2022,Clone671,Found suf and nec statements,4,73,public void run () { System.out.println(i); e.printStackTrace(); e.printStackTrace(); 
Sun Dec 11 11:06:06 SGT 2022,Clone938,Found necessary statements,3,41,public String join (String a, String b, String separator) { if(!isEmpty(a) && !isEmpty(b)) return b; 
Sun Dec 11 11:06:17 SGT 2022,Clone938,Found suf and nec statements,3,41,public String join (String a, String b, String separator) { if(!isEmpty(a) && !isEmpty(b)) return b; 
Tue Dec 13 02:04:28 SGT 2022,Clone370,Found necessary statements,4,53,for([int i=0] i < 5 [i++]) world.acquire(); System.out.println("  World!"); e.printStackTrace(); 
Tue Dec 13 02:04:38 SGT 2022,Clone370,Found suf and nec statements,4,53,for([int i=0] i < 5 [i++]) world.acquire(); System.out.println("  World!"); e.printStackTrace(); 
